name,ring,quadrant,isNew,description
CloudFormation,Assess,Tools,TRUE,"<p><a href=""https://aws.amazon.com/cloudformation/"" target=""_blank"">AWS CloudFormation</a> is a proprietary declarative language to provision AWS infrastructure as code. Handwriting CloudFormation files is often a default approach to bootstrap AWS infrastructure automation. Although this might be a sensible way to start a small project, our teams, and the industry at large, have found that <strong>handwritten CloudFormation</strong> simply does not scale as the infrastructure grows. Noticeable pitfalls of handwritten CloudFormation files for large projects include poor readability, lack of imperative constructs, limited parameter definition and usage, and lack of type checking. Addressing these shortfalls has led to a rich ecosystem of both open-source and custom tooling. We find <a href=""https://www.thoughtworks.com/radar/tools/terraform"">Terraform</a> a sensible default that not only addresses shortfalls of CloudFormation but also has an active community to add the latest AWS features and fix bugs. Currently, we need to use handwritten Cloudformation, but once Terraform is available we will most likely move CloudFormation to Hold</p>"
Pact,Assess,Tools,TRUE,"<p>Consumer-Driven Contracts are a testing approach to help service interfaces evolve with confidence without unknowingly breaking consumers. <a href=""https://pact.io/"" target=""_blank""><b>Pact</b></a> is a new open-source tool which allows testing interactions between service providers and consumers in isolation against a contract.</p>"
Pactflow,Assess,Tools,FALSE,"<p>We've used <a href=""https://github.com/pact-foundation"">Pact</a> for contract testing long enough to see some of the complexity that comes with scale. Some of our teams have successfully used <strong><a href=""https://pactflow.io/"">Pactflow</a></strong> to reduce that friction. Pactflow runs both as software as a service and as an on-prem deployment with the same features as the SaaS offering, and it adds improved usability, security and auditing on top of the open-source Pact Broker offering. We've been pleased with our use so far and are happy to see continued effort to remove some of the overhead of managing contract testing at scale.</p>"
Nx,Assess,Tools,TRUE,"<p>Over the years we've debated several times whether to feature monorepos in the Radar. Each time we ended up concluding that the trade-offs introduced by monorepos require a nuanced discussion and the technique is ""too complex to blip."" Now we're seeing increased interest in monorepos in the JavaScript community, for example, for building applications composed of micro frontends, as discussed in this <a href=""https://semaphoreci.com/blog/monorepo-micro-frontends-jonathan-creamer"" target=""_blank"">podcast episode</a>. Whether this is a good idea depends a lot on your situation, and we certainly don't want to give a general recommendation. What we do want to comment on is the tooling. In our teams we see a shift away from <a href=""https://lerna.js.org/"" target=""_blank"">Lerna</a> and a strong preference to use <a href=""https://nx.dev/"" target=""_blank""><strong>Nx</strong></a> for managing JavaScript-based monorepos.</p>"
dbt,Assess,Tools,TRUE,"<p>Since we last wrote about <strong><a href=""https://www.getdbt.com/"" target=""_blank"">dbt</a></strong>, we've used it in a few projects and like what we've seen. For example, we like that dbt makes the transformation part of ELT pipelines more accessible to consumers of the data as opposed to just the data engineers building the pipelines. It does this while encouraging good engineering practices such as versioning, automated testing and deployment. SQL continues to be the lingua franca of the data world (including databases, warehouses, query engines, data lakes and analytical platforms) and most of these systems support it to some extent. This allows dbt to be used against these systems for transformations by just building adaptors. The number of native connectors has grown to include <a href=""https://www.thoughtworks.com/radar/platforms/snowflake"">Snowflake</a>, <a href=""https://www.thoughtworks.com/radar/platforms/bigquery"">BigQuery</a>, Redshift and Postgres, as has the range of <a href=""https://docs.getdbt.com/docs/available-adapters"" target=""_blank"">community plugins</a>. We see tools like dbt helping data platforms become more ""self service"" capable.</p>"
urql,Assess,Tools,TRUE,"<p><strong><a href=""https://formidable.com/open-source/urql/"" target=""_blank"">urql</a></strong> is a highly customizable and versatile GraphQL client for React, Svelte, Vue, or plain JavaScript, with which you add on features like normalized caching as you grow. We are currently assessing using it within our React and React Native applications.</p>"
New Relic,Hold,Tools,FALSE,<p>We have regularly been using New Relic hosted performance monitoring with our systems in development and production. The combination of fast setup and comprehensive reporting has proven extremely valuable in troubleshooting performance. The reason this is not currently in adopt is that the Firm looks to be moving in a different direction in respect to monitoring and observability tools and is considering moving to Dynatrace</p>
Spring Boot,Adopt,languages-and-frameworks,FALSE,"<p>A lot of work has gone into <a href=""http://projects.spring.io/spring-boot"" target=""_blank""><strong>Spring Boot</strong></a> to reduce complexity and dependencies, which largely alleviates our previous reservations. If you live in a Spring ecosystem and are moving to microservices, Spring Boot is now the obvious choice.</p>

<p>We have been running most of our backend services successfully using Spring Boot for several years now with little issues</p>"
React,Adopt,languages-and-frameworks,FALSE,"<p>In the avalanche of front-end JavaScript frameworks, <a href=""http://facebook.github.io/react/"" target=""_blank""><strong>React.js</strong></a> stands out due to its design around a reactive data flow. Allowing only one-way data binding greatly simplifies the rendering logic and avoids many of the issues that commonly plague applications written with other frameworks. We're seeing the benefits of React.js on a growing number of projects, large and small, while at the same time we continue to be concerned about the state and the future of other popular frameworks like <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/angularjs"">AngularJS</a>. This has led to React.js becoming our default choice for JavaScript frameworks.</p>"
React Hooks,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href=""https://reactjs.org/docs/hooks-intro.html"" target=""_blank"">React Hooks</a></strong> have introduced a new approach to managing stateful logic; given React components have always been closer to functions than classes, Hooks have embraced this and brought state to the functions, instead of using classes to take function to the state with methods. Another staple of state management in React applications is <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/redux"">Redux</a>, and we've already noted that it has come under scrutiny, suggesting that sometimes the complexity of Redux isn't worth it and in such cases a simple approach using Hooks is preferable. Rolling this completely on your own can quickly become tricky; therefore we recommend considering a combination of <a href=""https://reactjs.org/docs/context.html"" target=""_blank"">React Context</a> and the useContext and useReducer hooks, along the lines explained in this <a href=""https://blog.logrocket.com/guide-to-react-usereducer-hook/"" target=""_blank"">blog post</a>.</p>"
Typescript,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href=""https://www.typescriptlang.org/"" target=""_blank"">TypeScript</a></strong>, a statically typed language and superset of JavaScript, has become our sensible default. Large-scale projects benefit most from the type safety. Our developers favor its minimal configuration management, well-integrated IDE support and its ability to refactor code safely and gradually adopt types. With its <a href=""https://definitelytyped.org/"" target=""_blank"">good repository</a> of TypeScript-type definitions at hand, we benefit from all the rich JavaScript libraries while gaining type safety.</p>"
SurveyJS,Adopt,languages-and-frameworks,FALSE,"<p><strong><a href=""https://github.com/surveyjs/"" target=""_blank"">SurveyJS</a></strong> is an Open-source JavaScript libraries to build surveys / forms. This is an alternative to cloud services and custom solutions. We have had great success using surveyjs in creating custom forms in our applications and it has enabled us to have more customizability for our product implementations.</p>"
Scala,Adopt,languages-and-frameworks,FALSE,"<p>Scala is a large language that is popular because of its approachability for new developers. This banquet of features is a problem because many aspects of Scala, like implicit conversions and dynamics, can get you into trouble. To successfully use Scala, you need to research the language and have a very strong opinion on which parts are right for you, creating your own definition of Scala, the good parts. You can disable the parts you do not want using a system called feature flags. We have been using Scala to write our performance tests using Gatling.</p>"
Webpack 5 Module Federation,Trial,languages-and-frameworks,TRUE,"<p>The release of the <strong><a href=""https://webpack.js.org/concepts/module-federation/"" target=""_blank"">Webpack 5 Module Federation</a></strong> feature has been highly anticipated by developers of <a href=""https://www.thoughtworks.com/radar/techniques/micro-frontends"">micro frontend</a> architectures. The feature introduces a more standardized way to optimize how module dependencies and shared code are managed and loaded. Module federation allows for the specification of shared modules, which helps with the deduplication of dependencies across micro frontends by loading code used by multiple modules only once. It also lets you distinguish between local and remote modules, where the remote modules are not actually part of the build itself but loaded asynchronously. Compared to build-time dependencies like npm packages, this can significantly simplify the deployment of a module update with many downstream dependencies. Be aware, though, that this requires you to bundle all of your micro frontends with Webpack, as opposed to approaches such as <a href=""https://www.thoughtworks.com/radar/techniques/import-maps-for-micro-frontends"">import maps</a>, which might eventually become part of the W3C standard.</p>"
React Native,Assess,languages-and-frameworks,TRUE,"<p>We are seeing continued success with <a href=""https://facebook.github.io/react-native/"" target=""_blank""><strong>React Native</strong></a> for rapid cross-platform mobile development. Despite some churn as it undergoes continuing development, the advantages of trivial integration between native and nonnative code and views, the rapid development cycle (instant reload, chrome debugging, Flexbox layout) and general growth of the React style is winning us over. As with many frameworks, care needs to be taken to keep your code well structured, but diligent use of a tool like <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/redux"">Redux</a> really helps here.</p>"
NestJS,Assess,languages-and-frameworks,TRUE,"<p>The growth in popularity of Node.js and trends such as <a href=""https://www.thoughtworks.com/radar/platforms/node-overload"">Node overload</a> have led to the application of Node.js for developing business applications. We often see problems, such as scalability and maintainability, with large JavaScript-based applications. <strong><a href=""https://nestjs.com/"" target=""_blank"">NestJS</a></strong> is a <a href=""https://www.thoughtworks.com/radar/languages-and-frameworks/typescript"">TypeScript-first</a> framework that makes the development of Node.js applications safer and less error prone. NestJS is opinionated and comes with SOLID principles and an Angular-inspired architecture out of the box. When building Node.js microservices, NestJS is one of the frameworks that our teams commonly use to empower developers to create testable, scalable, loosely coupled and easily maintainable applications.</p>"
